Path Search Parameters:
Distance delta -> 18px
Angle delta -> 20°
---------------
Path characteristics:
Distance -> 1281.9773731577704px
Sum angles -> 135.5750384291385°
---------------
Pathfinding time -> 1 day, 3:49:00.958889
---------------
Points of path:
Point(165, 305)
Point(171, 322)
Point(177, 339)
Point(183, 356)
Point(189, 373)
Point(195, 390)
Point(201, 407)
Point(207, 424)
Point(217, 439)
Point(231, 450)
Point(247, 458)
Point(264, 465)
Point(281, 471)
Point(298, 477)
Point(315, 483)
Point(332, 489)
Point(349, 495)
Point(366, 501)
Point(383, 507)
Point(397, 518)
Point(410, 530)
Point(423, 542)
Point(436, 554)
Point(449, 566)
Point(461, 579)
Point(473, 592)
Point(485, 605)
Point(500, 615)
Point(517, 620)
Point(534, 625)
Point(551, 630)
Point(568, 635)
Point(586, 639)
Point(604, 643)
Point(622, 647)
Point(640, 651)
Point(658, 655)
Point(676, 659)
Point(694, 663)
Point(712, 667)
Point(730, 671)
Point(748, 675)
Point(766, 679)
Point(784, 682)
Point(802, 685)
Point(820, 688)
Point(838, 691)
Point(856, 694)
Point(874, 697)
Point(892, 699)
Point(910, 701)
Point(928, 703)
Point(946, 705)
Point(964, 706)
Point(982, 707)
Point(1000, 708)
Point(1018, 709)
Point(1036, 710)
Point(1054, 710)
Point(1072, 709)
Point(1090, 708)
Point(1108, 707)
Point(1126, 706)
Point(1144, 704)
Point(1162, 702)
Point(1180, 700)
Point(1198, 698)
Point(1216, 696)
Point(1234, 694)
Point(1252, 692)
Point(1270, 690)
Point(1287, 689)
---------------
